Ward Name,Ward No.,Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands)
Dhanori,1.0,44060.0,23099.0,20961.0
Vidhyanagar Lohagaon,2.0,25430.0,13125.0,12305.0
Tingre Pumping Station ,3.0,22592.0,11528.0,11064.0
Kalas Vishrantwadi,4.0,24678.0,12830.0,11848.0
Nanasaheb Parulekar Vidhyalaya,5.0,18490.0,9378.0,9112.0
Yerwada Prizen Press,6.0,26134.0,15086.0,11048.0
Lohagaon Vimantal,7.0,33810.0,17610.0,16200.0
Kharadigaon,8.0,37947.0,20290.0,17657.0
Kharadi Infotech Park,9.0,24332.0,13030.0,11302.0
Sundrabai Marathe Vidhyalaya,10.0,24433.0,12814.0,11619.0
Vadgaon Sheri,11.0,32731.0,17179.0,15552.0
Ramwadi,12.0,25865.0,13587.0,12278.0
Agakhan Pallace,13.0,25272.0,13101.0,12171.0
Don Bosco  Highschool,14.0,18483.0,9390.0,9093.0
NagpurChawl,15.0,16691.0,8449.0,8242.0
"PhuleNagar ,Yerwada",16.0,15724.0,8044.0,7680.0
Netaji Subhashchandra Bose Vidhyalaya,17.0,15990.0,7986.0,8004.0
Yerwadagaon,18.0,14960.0,7506.0,7454.0
Parnkuti,19.0,17702.0,8969.0,8733.0
YerwadaHotmix Plant,20.0,18332.0,9333.0,8999.0
Deccon Collage,21.0,17865.0,9299.0,8566.0
Kamal Nayan Bajaj Udhyan,22.0,18071.0,9129.0,8942.0
Setki Mahavidhyalaya,23.0,15744.0,7666.0,8078.0
Sanjay Gandhi Rugnalya,24.0,17876.0,8926.0,8950.0
Bopodi,25.0,15834.0,7905.0,7929.0
Pune Vidhyapeeth,26.0,16240.0,8141.0,8099.0
AundhGaon,27.0,17766.0,8934.0,8832.0
Baner-Balewadi,28.0,31972.0,16781.0,15191.0
Sutarwadi,29.0,23994.0,12422.0,11572.0
Pashan,30.0,24574.0,12618.0,11956.0
Aundh I.T.I,31.0,15205.0,7573.0,7632.0
RajBhavan,32.0,17663.0,8972.0,8691.0
Chaturshingi Mandir,33.0,20138.0,10242.0,9896.0
Model Colony,34.0,14892.0,7386.0,7506.0
Morden Collage ,35.0,14669.0,7534.0,7135.0
P.M.C Bhavan,36.0,12603.0,6356.0,6247.0
Dr.Nayadu Hospital,37.0,15380.0,7994.0,7386.0
Bundgarden,38.0,14096.0,7068.0,7028.0
Wadiya Collage,39.0,14447.0,7231.0,7216.0
Koregaon Park,40.0,14685.0,7446.0,7239.0
Mundhvagaon,41.0,19153.0,9924.0,9229.0
Magarpatta Hadapsar,42.0,40932.0,21668.0,19264.0
Hadapsar Indestrial Estate,43.0,29733.0,15435.0,14298.0
Sent Patric Town,44.0,27453.0,14289.0,13164.0
Vikas Nagar Ghorpadi,45.0,30023.0,15526.0,14497.0
